date,population,admission,release
10/4/2020,120826.2123,1936.172431,1064.656336
10/5/2020,121432.2548,1671.218854,2868.044821
10/6/2020,120993.6689,2428.458854,3353.711487
10/7/2020,120647.7496,3007.792187,2653.711487
10/8/2020,120536.8303,2542.792187,2700.711487
10/9/2020,120391.911,2553.86911,2467.844821
10/10/2020,120527.7417,2605.342187,1156.428154
10/11/2020,121255.8224,1885.17552,1124.844821
10/12/2020,121892.1531,1689.943445,2219.455521
10/13/2020,121757.7653,2102.945194,2940.724376
10/14/2020,121499.0708,2730.71014,2897.307563
10/15/2020,121175.4968,2575.116956,2586.857563
10/16/2020,121146.7681,2559.462195,2728.592412
10/17/2020,120844.3046,2426.128861,1181.066096
10/18/2020,121436.6744,1772.102545,1006.232762
10/19/2020,122073.1441,1643.135879,2639.377207
10/20/2020,121771.4473,2337.680323,2704.793874
10/21/2020,121556.667,2488.013657,2676.320694
10/22/2020,121582.3232,2703.410231,2721.013275
10/23/2020,121404.6107,2545.550744,2698.793578
10/24/2020,121415.2921,2710.459835,1309.278427
10/25/2020,121942.4735,1836.459835,1175.278427
10/26/2020,122368.6549,1601.459835,2945.93158
10/27/2020,121805.7282,2383.00488,2802.43158
10/28/2020,121400.3015,2397.00488,2910.137136
10/29/2020,120901.9582,2411.793769,2625.409863
10/30/2020,120678.0672,2404.24615,2627.470469
10/31/2020,120489.5095,2438.912816,1113.52794
11/1/2020,121149.1032,1774.104387,1076.310699
11/2/2020,121893.7969,1820.054387,2731.244032
11/3/2020,121392.4906,2216.110637,2353.556532
11/4/2020,121196.9134,2159.479387,2363.556532
11/5/2020,121098.3363,2262.479387,2608.723199
11/6/2020,121126.6401,2637.027006,2669.562942
11/7/2020,121095.367,2639.270596,1181.627045
11/8/2020,121815.4689,1901.728929,1139.827045
11/9/2020,122288.3708,1603.93578,2753.99612
11/10/2020,121837.3503,2303.884805,2738.821877
11/11/2020,121650.1633,2551.634805,1356.321877
11/12/2020,122148.9762,1855.134805,2708.071877
11/13/2020,121806.7891,2366.334805,2683.121877
11/14/2020,121679.9687,2556.301471,1204.621877
11/15/2020,122252.6483,1777.301471,1074.871877
11/16/2020,122726.9529,1548.509805,2879.205211
11/17/2020,122055.8242,2208.076471,2693.205211
11/18/2020,121757.6954,2395.076471,2586.705211
11/19/2020,121366.0667,2190.225807,2806.542045
11/20/2020,121163.5145,2602.133369,2552.564374
11/21/2020,121057.5229,2445.072763,1209.795143
11/22/2020,121681.3646,1836.406096,1119.564374
11/23/2020,122133.2063,1558.72317,2793.249015
11/24/2020,121660.1964,2239.786254,2745.337694
11/25/2020,121100.9748,2184.046684,2625.934938
11/26/2020,120470.0253,1994.985379,980.4349377
11/27/2020,120831.5757,1341.985379,1555.518271
11/28/2020,121781.3761,2504.385379,774.2296328
11/29/2020,122185.5496,1183.350459,577.6770012
11/30/2020,122848.7231,1134.850459,3094.218272
12/1/2020,121729.582,1968.49086,2731.80956
12/2/2020,121199.2822,2201.474326,2534.385574
12/3/2020,121034.6739,2296.041169,2557.340911
12/4/2020,120702.5741,2256.091245,2687.018705
12/5/2020,120614.5345,2561.589151,1159.485199
